"","Make","Category"
"1","McLaren","high-end"
"2","Rolls-Royce","high-end"
"3","Ferrari","high-end"
"4","Lamborghini","high-end"
"5","Bentley","mid-range"
"6","Aston","mid-range"
"7","Maybach","mid-range"
"8","Tesla","mid-range"
"9","AM","mid-range"
"10","Porsche","mid-range"
"11","Alfa","mid-range"
"12","Lotus","mid-range"
"13","Maserati","mid-range"
"14","Fisker","mid-range"
"15","Genesis","mid-range"
"16","Land","mid-range"
"17","Jaguar","mid-range"
"18","Mercedes-Benz","mid-range"
"19","Ram","mid-range"
"20","Audi","mid-range"
"21","Freightliner","mid-range"
"22","GMC","mid-range"
"23","Cadillac","mid-range"
"24","BMW","mid-range"
"25","Lexus","mid-range"
"26","INFINITI","mid-range"
"27","Volvo","mid-range"
"28","Acura","mid-range"
"29","Lincoln","mid-range"
"30","Jeep","mid-range"
"31","Chevrolet","mid-range"
"32","Ford","mid-range"
"33","Plymouth","mid-range"
"34","Subaru","mid-range"
"35","Toyota","mid-range"
"36","Buick","low-end"
"37","HUMMER","low-end"
"38","Dodge","low-end"
"39","Honda","low-end"
"40","Nissan","low-end"
"41","MINI","low-end"
"42","Chrysler","low-end"
"43","Mazda","low-end"
"44","Kia","low-end"
"45","Volkswagen","low-end"
"46","Hyundai","low-end"
"47","Mitsubishi","low-end"
"48","Scion","low-end"
"49","FIAT","low-end"
"50","smart","low-end"
"51","Pontiac","low-end"
"52","Mercury","low-end"
"53","Suzuki","low-end"
"54","Saab","low-end"
"55","Saturn","low-end"
"56","Isuzu","low-end"
"57","Geo","low-end"
"58","Oldsmobile","low-end"
