"","Make","average"
"1","McLaren",215340.859375
"2","Rolls-Royce",201293.833333333
"3","Ferrari",200600.085714286
"4","Lamborghini",186711.382978723
"5","Bentley",101075.310626703
"6","Aston",99573.6174496644
"7","Maybach",86702.3636363636
"8","Tesla",62328.5142045455
"9","AM",59934.2105263158
"10","Porsche",57277.4599827139
"11","Alfa",54228.7045454545
"12","Lotus",52548.7551020408
"13","Maserati",49909.6845540247
"14","Fisker",46770.72
"15","Genesis",44733.2296650718
"16","Land",40025.4070841889
"17","Jaguar",34416.3532434168
"18","Mercedes-Benz",31696.0502478299
"19","Ram",30702.654104285
"20","Audi",28960.9973846885
"21","Freightliner",28341.0769230769
"22","GMC",28162.684887908
"23","Cadillac",27891.7043950527
"24","BMW",26920.7126638902
"25","Lexus",26367.0309074453
"26","INFINITI",25609.084384858
"27","Volvo",23474.0522011721
"28","Acura",23196.6064802245
"29","Lincoln",23043.0635614262
"30","Jeep",22286.4897468627
"31","Chevrolet",21770.0921848617
"32","Ford",21311.7967209674
"33","Plymouth",20789.9428571429
"34","Subaru",19434.5770266857
"35","Toyota",19382.6930947158
"36","Buick",18781.2140221402
"37","HUMMER",18704.5288822206
"38","Dodge",18022.7117266414
"39","Honda",16670.6025754422
"40","Nissan",16620.9790294803
"41","MINI",16357.9047236504
"42","Chrysler",15744.883302583
"43","Mazda",15639.1282167498
"44","Kia",15388.7010552365
"45","Volkswagen",14625.5692585351
"46","Hyundai",14298.7655315022
"47","Mitsubishi",12930.3815944716
"48","Scion",12220.8072453862
"49","FIAT",11930.1978568695
"50","smart",8166.08553971487
"51","Pontiac",7515.43028659954
"52","Mercury",6896.38080301129
"53","Suzuki",6771.89049586777
"54","Saab",6715.5068119891
"55","Saturn",6108.83656509695
"56","Isuzu",4676.16190476191
"57","Geo",3998
"58","Oldsmobile",3666.37790697674
